Time,FPT Velocity ft/sec,WGA Velocity ft/sec
8/30/13 15:45,1.35,1.25
8/30/13 16:00,1.36,1.30
8/30/13 16:15,1.39,1.35
8/30/13 16:30,1.39,1.38
8/30/13 16:45,1.44,1.40
8/30/13 17:00,1.46,1.43
8/30/13 17:15,1.47,1.45
8/30/13 17:30,1.50,1.47
8/30/13 17:45,1.52,1.50
8/30/13 18:00,1.52,1.51
8/30/13 18:15,1.55,1.53
8/30/13 18:30,1.56,1.53
8/30/13 18:45,1.56,1.56
8/30/13 19:00,1.56,1.55
8/30/13 19:15,1.56,1.57
8/30/13 19:30,1.56,1.56
8/30/13 19:45,1.56,1.53
8/30/13 20:00,1.60,1.50
8/30/13 20:15,1.56,1.46
8/30/13 20:30,1.55,1.44
8/30/13 20:45,1.51,1.38
8/30/13 21:00,1.49,1.32
8/30/13 21:15,1.46,1.23
8/30/13 21:30,1.45,1.15
8/30/13 21:45,1.41,1.06
8/30/13 22:00,1.35,0.98
8/30/13 22:15,1.30,0.93
8/30/13 22:30,1.23,0.88
8/30/13 22:45,1.15,0.85
8/30/13 23:00,1.12,0.81
8/30/13 23:15,1.09,0.80
8/30/13 23:30,1.04,0.79
8/30/13 23:45,1.03,0.79
8/31/13 00:00,0.98,0.80
8/31/13 00:15,0.97,0.84
8/31/13 00:30,0.97,0.84
8/31/13 00:45,0.99,0.86
8/31/13 01:00,0.97,0.89
8/31/13 01:15,0.98,0.94
8/31/13 01:30,1.00,0.99
8/31/13 01:45,1.03,1.04
8/31/13 02:00,1.07,1.12
8/31/13 02:15,1.14,1.18
8/31/13 02:30,1.16,1.22
8/31/13 02:45,1.22,1.28
8/31/13 03:00,1.26,1.31
8/31/13 03:15,1.29,1.35
8/31/13 03:30,1.35,1.39
8/31/13 03:45,1.38,1.44
8/31/13 04:00,1.42,1.47
8/31/13 04:15,1.46,1.51
8/31/13 04:30,1.48,1.54
8/31/13 04:45,1.52,1.58
8/31/13 05:00,1.55,1.62
8/31/13 05:15,1.56,1.66
8/31/13 05:30,1.58,1.69
8/31/13 05:45,1.61,1.71
8/31/13 06:00,1.62,1.74
8/31/13 06:15,1.63,1.76
8/31/13 06:30,1.67,1.79
8/31/13 06:45,1.66,1.81
8/31/13 07:00,1.69,1.83
8/31/13 07:15,1.69,1.85
8/31/13 07:30,1.70,1.87
8/31/13 07:45,1.69,1.89
8/31/13 08:00,1.73,1.90
8/31/13 08:15,1.75,1.90
8/31/13 08:30,1.75,1.91
8/31/13 08:45,1.75,1.92
8/31/13 09:00,1.76,1.93
8/31/13 09:15,1.76,1.93
8/31/13 09:30,1.77,1.89
8/31/13 09:45,1.79,1.89
8/31/13 10:00,1.80,1.85
8/31/13 10:15,1.80,1.82
8/31/13 10:30,1.79,1.78
8/31/13 10:45,1.79,1.74
8/31/13 11:00,1.78,1.69
8/31/13 11:15,1.75,1.59
8/31/13 11:30,1.72,1.53
8/31/13 11:45,1.70,1.44
8/31/13 12:00,1.66,1.35
8/31/13 12:15,1.64,1.27
8/31/13 12:30,1.56,1.20
8/31/13 12:45,1.53,1.15
8/31/13 13:00,1.47,1.09
8/31/13 13:15,1.43,1.06
8/31/13 13:30,1.39,1.03
8/31/13 13:45,1.35,1.01
8/31/13 14:00,1.29,0.99
8/31/13 14:15,1.28,0.98
8/31/13 14:30,1.22,0.97
8/31/13 14:45,1.19,0.96
8/31/13 15:00,1.19,0.97
8/31/13 15:15,1.18,0.98
8/31/13 15:30,1.18,1.00
8/31/13 15:45,1.20,1.03
8/31/13 16:00,1.19,1.06
8/31/13 16:15,1.22,1.13
